customer_id,customer_type,method,rank,product_id,product_name,producer_id,score,score_components,based_on_product_ids,reason_codes,reason_text
C000008,family,co_occurrence_discovery,1,P000097,Aged Farmhouse Cheddar,PR000004,0.948,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.048, 'diversity_adjustment': 0.0}",P000122|P000138|P000109,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000008,family,co_occurrence_discovery,2,P000102,Curly Green Kale,PR000009,0.886,"{'cooccurrence': 0.738, 'seasonality': 0.08, 'segment_popularity': 0.068, 'diversity_adjustment': 0.0}",P000092|P000132|P000115,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000008,family,co_occurrence_discovery,3,P000125,Bristol Orchard Apple Juice,PR000008,0.842,"{'cooccurrence': 0.656, 'seasonality': 0.08, 'segment_popularity': 0.076, 'diversity_adjustment': 0.03}",P000109|P000115|P000138,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000009,young_professional,co_occurrence_discovery,1,P000119,Blackcurrant Punnets,PR000002,0.870526,"{'cooccurrence': 0.690526, 'seasonality': 0.08, 'segment_popularity': 0.1, 'diversity_adjustment': 0.0}",P000083|P000096|P000127,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000009,young_professional,co_occurrence_discovery,2,P000120,Golden Beetroot,PR000003,0.807568,"{'cooccurrence': 0.668947, 'seasonality': 0.08, 'segment_popularity': 0.058621, 'diversity_adjustment': 0.0}",P000102|P000097|P000096,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000009,young_professional,co_occurrence_discovery,3,P000128,Multiseed Bagels,PR000011,0.778058,"{'cooccurrence': 0.647368, 'seasonality': 0.08, 'segment_popularity': 0.02069, 'diversity_adjustment': 0.03}",P000130|P000092|P000099,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000010,community_group,co_occurrence_discovery,1,P000119,Blackcurrant Punnets,PR000002,0.981503,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.081503, 'diversity_adjustment': 0.0}",P000096|P000120|P000129,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000010,community_group,co_occurrence_discovery,2,P000097,Aged Farmhouse Cheddar,PR000004,0.956069,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.056069, 'diversity_adjustment': 0.0}",P000096|P000120|P000137,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000010,community_group,co_occurrence_discovery,3,P000084,Heritage Rainbow Carrots,PR000003,0.944125,"{'cooccurrence': 0.776842, 'seasonality': 0.08, 'segment_popularity': 0.087283, 'diversity_adjustment': 0.0}",P000132|P000101|P000094,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000011,restaurant,co_occurrence_discovery,1,P000132,Leek and Onion Box,PR000003,0.919066,"{'cooccurrence': 0.756923, 'seasonality': 0.08, 'segment_popularity': 0.082143, 'diversity_adjustment': 0.0}",P000122|P000118|P000102,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000011,restaurant,co_occurrence_discovery,2,P000092,Seeded Wholemeal Rolls,PR000011,0.799341,"{'cooccurrence': 0.630769, 'seasonality': 0.08, 'segment_popularity': 0.058571, 'diversity_adjustment': 0.03}",P000102|P000109|P000133,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000011,restaurant,co_occurrence_discovery,3,P000125,Bristol Orchard Apple Juice,PR000008,0.768626,"{'cooccurrence': 0.630769, 'seasonality': 0.08, 'segment_popularity': 0.027857, 'diversity_adjustment': 0.03}",P000109|P000102|P000134,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000012,community_group,co_occurrence_discovery,1,P000120,Golden Beetroot,PR000003,0.975145,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.075145, 'diversity_adjustment': 0.0}",P000102|P000113|P000139,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000012,community_group,co_occurrence_discovery,2,P000125,Bristol Orchard Apple Juice,PR000008,0.953917,"{'cooccurrence': 0.795882, 'seasonality': 0.08, 'segment_popularity': 0.078035, 'diversity_adjustment': 0.0}",P000102|P000134|P000114,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000012,community_group,co_occurrence_discovery,3,P000109,Salted Farm Butter,PR000004,0.740269,"{'cooccurrence': 0.578824, 'seasonality': 0.08, 'segment_popularity': 0.051445, 'diversity_adjustment': 0.03}",P000134|P000092|P000104,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000013,young_professional,co_occurrence_discovery,1,P000128,Multiseed Bagels,PR000011,0.92069,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.02069, 'diversity_adjustment': 0.0}",P000126|P000114|P000116,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000013,young_professional,co_occurrence_discovery,2,P000120,Golden Beetroot,PR000003,0.86751,"{'cooccurrence': 0.728889, 'seasonality': 0.08, 'segment_popularity': 0.058621, 'diversity_adjustment': 0.0}",P000126|P000116|P000114,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000013,young_professional,co_occurrence_discovery,3,P000097,Aged Farmhouse Cheddar,PR000004,0.864061,"{'cooccurrence': 0.728889, 'seasonality': 0.08, 'segment_popularity': 0.055172, 'diversity_adjustment': 0.0}",P000126|P000116,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000014,family,co_occurrence_discovery,1,P000125,Bristol Orchard Apple Juice,PR000008,0.884889,"{'cooccurrence': 0.728889, 'seasonality': 0.08, 'segment_popularity': 0.076, 'diversity_adjustment': 0.0}",P000120|P000109|P000102,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000014,family,co_occurrence_discovery,2,P000096,New Season Potatoes,PR000003,0.854222,"{'cooccurrence': 0.674222, 'seasonality': 0.08, 'segment_popularity': 0.1, 'diversity_adjustment': 0.0}",P000119|P000097|P000120,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000014,family,co_occurrence_discovery,3,P000126,Mixed Salad Leaves,PR000009,0.755333,"{'cooccurrence': 0.601333, 'seasonality': 0.08, 'segment_popularity': 0.044, 'diversity_adjustment': 0.03}",P000120|P000097|P000114,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000015,community_group,co_occurrence_discovery,1,P000084,Heritage Rainbow Carrots,PR000003,0.78588,"{'cooccurrence': 0.618596, 'seasonality': 0.08, 'segment_popularity': 0.087283, 'diversity_adjustment': 0.0}",P000132|P000101|P000094,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000015,community_group,co_occurrence_discovery,2,P000103,Soft Goat Cheese,PR000010,0.64645,"{'cooccurrence': 0.517895, 'seasonality': 0.08, 'segment_popularity': 0.048555, 'diversity_adjustment': 0.0}",P000125|P000132|P000139,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000015,community_group,co_occurrence_discovery,3,P000126,Mixed Salad Leaves,PR000009,0.645937,"{'cooccurrence': 0.503509, 'seasonality': 0.08, 'segment_popularity': 0.062428, 'diversity_adjustment': 0.0}",P000120|P000139|P000112,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000016,restaurant,co_occurrence_discovery,1,P000132,Leek and Onion Box,PR000003,0.952857,"{'cooccurrence': 0.790714, 'seasonality': 0.08, 'segment_popularity': 0.082143, 'diversity_adjustment': 0.0}",P000100|P000118|P000133,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000016,restaurant,co_occurrence_discovery,2,P000097,Aged Farmhouse Cheddar,PR000004,0.874286,"{'cooccurrence': 0.702857, 'seasonality': 0.08, 'segment_popularity': 0.091429, 'diversity_adjustment': 0.0}",P000096|P000138|P000090,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000016,restaurant,co_occurrence_discovery,3,P000122,Rye and Caraway Boule,PR000005,0.837857,"{'cooccurrence': 0.673571, 'seasonality': 0.08, 'segment_popularity': 0.084286, 'diversity_adjustment': 0.0}",P000100|P000098|P000118,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000017,community_group,co_occurrence_discovery,1,P000133,Buttermilk,PR000004,0.853826,"{'cooccurrence': 0.722381, 'seasonality': 0.08, 'segment_popularity': 0.051445, 'diversity_adjustment': 0.0}",P000108|P000092|P000091,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000017,community_group,co_occurrence_discovery,2,P000132,Leek and Onion Box,PR000003,0.824286,"{'cooccurrence': 0.644286, 'seasonality': 0.08, 'segment_popularity': 0.1, 'diversity_adjustment': 0.0}",P000102|P000095|P000091,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000017,community_group,co_occurrence_discovery,3,P000125,Bristol Orchard Apple Juice,PR000008,0.773749,"{'cooccurrence': 0.585714, 'seasonality': 0.08, 'segment_popularity': 0.078035, 'diversity_adjustment': 0.03}",P000120|P000102|P000101,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000018,family,co_occurrence_discovery,1,P000120,Golden Beetroot,PR000003,0.992,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.092, 'diversity_adjustment': 0.0}",P000102|P000131|P000096,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000018,family,co_occurrence_discovery,2,P000097,Aged Farmhouse Cheddar,PR000004,0.856889,"{'cooccurrence': 0.728889, 'seasonality': 0.08, 'segment_popularity': 0.048, 'diversity_adjustment': 0.0}",P000122|P000096|P000140,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000018,family,co_occurrence_discovery,3,P000101,Forced Rhubarb Stems,PR000008,0.819333,"{'cooccurrence': 0.683333, 'seasonality': 0.08, 'segment_popularity': 0.056, 'diversity_adjustment': 0.0}",P000096|P000104|P000102,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000020,community_group,co_occurrence_discovery,1,P000132,Leek and Onion Box,PR000003,0.786087,"{'cooccurrence': 0.606087, 'seasonality': 0.08, 'segment_popularity': 0.1, 'diversity_adjustment': 0.0}",P000102|P000130|P000133,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000020,community_group,co_occurrence_discovery,2,P000125,Bristol Orchard Apple Juice,PR000008,0.781948,"{'cooccurrence': 0.623913, 'seasonality': 0.08, 'segment_popularity': 0.078035, 'diversity_adjustment': 0.0}",P000120|P000102|P000133,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000020,community_group,co_occurrence_discovery,3,P000097,Aged Farmhouse Cheddar,PR000004,0.742156,"{'cooccurrence': 0.606087, 'seasonality': 0.08, 'segment_popularity': 0.056069, 'diversity_adjustment': 0.0}",P000096|P000120|P000113,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000021,restaurant,co_occurrence_discovery,1,P000133,Buttermilk,PR000004,0.95,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.05, 'diversity_adjustment': 0.0}",P000108|P000103|P000091,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000021,restaurant,co_occurrence_discovery,2,P000132,Leek and Onion Box,PR000003,0.861555,"{'cooccurrence': 0.699412, 'seasonality': 0.08, 'segment_popularity': 0.082143, 'diversity_adjustment': 0.0}",P000103|P000091|P000086,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000021,restaurant,co_occurrence_discovery,3,P000138,Romanesco Cauliflower,PR000009,0.808319,"{'cooccurrence': 0.651176, 'seasonality': 0.08, 'segment_popularity': 0.047143, 'diversity_adjustment': 0.03}",P000093|P000112|P000103,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000022,community_group,co_occurrence_discovery,1,P000126,Mixed Salad Leaves,PR000009,0.84184,"{'cooccurrence': 0.699412, 'seasonality': 0.08, 'segment_popularity': 0.062428, 'diversity_adjustment': 0.0}",P000120|P000097|P000128,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000022,community_group,co_occurrence_discovery,2,P000125,Bristol Orchard Apple Juice,PR000008,0.790976,"{'cooccurrence': 0.602941, 'seasonality': 0.08, 'segment_popularity': 0.078035, 'diversity_adjustment': 0.03}",P000120|P000084|P000113,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000022,community_group,co_occurrence_discovery,3,P000122,Rye and Caraway Boule,PR000005,0.702118,"{'cooccurrence': 0.578824, 'seasonality': 0.08, 'segment_popularity': 0.013295, 'diversity_adjustment': 0.03}",P000097|P000132|P000096,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers|producer_diversity_applied,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers, selected to improve producer diversity."
C000024,family,co_occurrence_discovery,1,P000119,Blackcurrant Punnets,PR000002,0.98,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.08, 'diversity_adjustment': 0.0}",P000083|P000096|P000120,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000024,family,co_occurrence_discovery,2,P000125,Bristol Orchard Apple Juice,PR000008,0.844214,"{'cooccurrence': 0.688214, 'seasonality': 0.08, 'segment_popularity': 0.076, 'diversity_adjustment': 0.0}",P000120|P000103|P000114,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000024,family,co_occurrence_discovery,3,P000102,Curly Green Kale,PR000009,0.836214,"{'cooccurrence': 0.688214, 'seasonality': 0.08, 'segment_popularity': 0.068, 'diversity_adjustment': 0.0}",P000120|P000132|P000084,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000026,restaurant,co_occurrence_discovery,1,P000120,Golden Beetroot,PR000003,0.829831,"{'cooccurrence': 0.730545, 'seasonality': 0.08, 'segment_popularity': 0.019286, 'diversity_adjustment': 0.0}",P000102|P000089|P000097,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000026,restaurant,co_occurrence_discovery,2,P000119,Blackcurrant Punnets,PR000002,0.780909,"{'cooccurrence': 0.670909, 'seasonality': 0.08, 'segment_popularity': 0.03, 'diversity_adjustment': 0.0}",P000096|P000127|P000090,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000026,restaurant,co_occurrence_discovery,3,P000125,Bristol Orchard Apple Juice,PR000008,0.778766,"{'cooccurrence': 0.670909, 'seasonality': 0.08, 'segment_popularity': 0.027857, 'diversity_adjustment': 0.0}",P000109|P000102|P000114,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000027,community_group,co_occurrence_discovery,1,P000096,New Season Potatoes,PR000003,0.994798,"{'cooccurrence': 0.82, 'seasonality': 0.08, 'segment_popularity': 0.094798, 'diversity_adjustment': 0.0}",P000101|P000097|P000127,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
C000027,community_group,co_occurrence_discovery,2,P000119,Blackcurrant Punnets,PR000002,0.941503,"{'cooccurrence': 0.78, 'seasonality': 0.08, 'segment_popularity': 0.081503, 'diversity_adjustment': 0.0}",P000083|P000113|P000120,commonly_bought_together|similar_basket_pattern|new_to_customer|seasonally_available|popular_with_similar_customers,"Recommended because it is commonly bought with products this customer purchased, found in similar baskets, not previously purchased by this customer, currently in season, popular with similar customers."
