branch,alpha,producer_id,recommendation_count,recommendation_share
quick_reorder,0.3,PR000006,9,0.05
quick_reorder,0.3,PR000007,6,0.03333333333333333
quick_reorder,0.3,PR000008,16,0.08888888888888889
quick_reorder,0.3,PR000009,19,0.10555555555555556
quick_reorder,0.3,PR000010,18,0.1
quick_reorder,0.3,PR000011,22,0.12222222222222222
quick_reorder,0.3,PR000012,4,0.022222222222222223
quick_reorder,0.3,PR000013,6,0.03333333333333333
discovery,0.0,PR000002,18,0.1
discovery,0.0,PR000003,53,0.29444444444444445
discovery,0.0,PR000004,37,0.20555555555555555
discovery,0.0,PR000005,7,0.03888888888888889
discovery,0.0,PR000007,1,0.005555555555555556
discovery,0.0,PR000008,26,0.14444444444444443
discovery,0.0,PR000009,18,0.1
discovery,0.0,PR000010,11,0.06111111111111111
discovery,0.0,PR000011,8,0.044444444444444446
discovery,0.0,PR000012,1,0.005555555555555556
discovery,0.05,PR000002,15,0.08333333333333333
discovery,0.05,PR000003,79,0.4388888888888889
discovery,0.05,PR000004,33,0.18333333333333332
discovery,0.05,PR000005,4,0.022222222222222223
discovery,0.05,PR000007,1,0.005555555555555556
discovery,0.05,PR000008,20,0.1111111111111111
discovery,0.05,PR000009,13,0.07222222222222222
discovery,0.05,PR000010,8,0.044444444444444446
discovery,0.05,PR000011,7,0.03888888888888889
discovery,0.1,PR000002,15,0.08333333333333333
discovery,0.1,PR000003,78,0.43333333333333335
discovery,0.1,PR000004,33,0.18333333333333332
discovery,0.1,PR000005,4,0.022222222222222223
discovery,0.1,PR000007,1,0.005555555555555556
discovery,0.1,PR000008,20,0.1111111111111111
discovery,0.1,PR000009,14,0.07777777777777778
discovery,0.1,PR000010,8,0.044444444444444446
discovery,0.1,PR000011,7,0.03888888888888889
discovery,0.15,PR000002,16,0.08888888888888889
discovery,0.15,PR000003,77,0.42777777777777776
discovery,0.15,PR000004,33,0.18333333333333332
discovery,0.15,PR000005,4,0.022222222222222223
discovery,0.15,PR000007,1,0.005555555555555556
discovery,0.15,PR000008,20,0.1111111111111111
discovery,0.15,PR000009,14,0.07777777777777778
discovery,0.15,PR000010,8,0.044444444444444446
discovery,0.15,PR000011,7,0.03888888888888889
discovery,0.2,PR000002,16,0.08888888888888889
discovery,0.2,PR000003,75,0.4166666666666667
discovery,0.2,PR000004,33,0.18333333333333332
discovery,0.2,PR000005,4,0.022222222222222223
discovery,0.2,PR000007,1,0.005555555555555556
discovery,0.2,PR000008,21,0.11666666666666667
discovery,0.2,PR000009,14,0.07777777777777778
discovery,0.2,PR000010,9,0.05
discovery,0.2,PR000011,7,0.03888888888888889
discovery,0.3,PR000002,17,0.09444444444444444
discovery,0.3,PR000003,70,0.3888888888888889
discovery,0.3,PR000004,32,0.17777777777777778
discovery,0.3,PR000005,4,0.022222222222222223
discovery,0.3,PR000007,1,0.005555555555555556
discovery,0.3,PR000008,24,0.13333333333333333
discovery,0.3,PR000009,15,0.08333333333333333
discovery,0.3,PR000010,9,0.05
discovery,0.3,PR000011,8,0.044444444444444446
